Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
29-January-1997,3613.43,3645.35,3522.58,3525.97,-,-,13.80,2.71,1.59,
30-January-1997,3526.55,3547.56,3471.97,3510.05,-,-,13.74,2.69,1.60,
31-January-1997,3473.42,3473.42,3361.25,3382.47,-,-,13.24,2.60,1.66,
3-February-1997,3379.76,3381.72,3323.33,3324.22,-,-,13.01,2.55,1.69,
4-February-1997,3322.04,3379.33,3316.15,3377.63,-,-,13.22,2.59,1.66,
5-February-1997,3383.59,3426.67,3352.34,3354.72,-,-,13.13,2.58,1.67,
6-February-1997,3355.71,3404.11,3332.61,3402.60,-,-,13.32,2.61,1.65,
7-February-1997,3399.83,3414.37,3377.22,3407.22,-,-,13.33,2.62,1.65,
10-February-1997,3413.88,3457.29,3413.88,3443.55,-,-,13.47,2.64,1.63,
11-February-1997,3442.50,3505.14,3440.06,3502.27,-,-,13.70,2.69,1.60,
12-February-1997,3499.22,3525.35,3479.54,3483.48,-,-,13.63,2.67,1.61,
13-February-1997,3482.86,3512.40,3472.02,3492.65,-,-,13.66,2.68,1.61,
14-February-1997,3493.03,3528.56,3493.03,3521.99,-,-,13.78,2.70,1.60,
17-February-1997,3533.85,3586.05,3533.85,3580.29,-,-,14.01,2.75,1.57,
18-February-1997,3578.47,3578.47,3504.23,3530.23,-,-,13.81,2.71,1.59,
19-February-1997,3520.50,3533.03,3468.89,3528.44,-,-,13.83,2.70,1.59,
20-February-1997,3527.35,3527.35,3491.46,3494.40,-,-,13.69,2.68,1.61,
21-February-1997,3493.83,3493.83,3433.27,3439.49,-,-,13.48,2.64,1.63,
24-February-1997,3439.11,3440.97,3356.02,3358.47,-,-,13.16,2.57,1.67,
25-February-1997,3358.12,3400.40,3325.29,3356.83,-,-,13.16,2.57,1.67,
26-February-1997,3356.10,3367.38,3316.71,3364.97,-,-,13.19,2.58,1.67,
27-February-1997,3379.10,3429.72,3379.10,3427.87,-,-,13.43,2.63,1.64,
28-February-1997,3547.75,3735.89,3547.75,3651.91,-,-,14.31,2.80,1.54,
1-March-1997,3713.74,3870.15,3713.74,3857.49,-,-,15.12,2.96,1.46,
3-March-1997,3855.34,4007.91,3828.77,3871.05,-,-,15.17,2.97,1.45,
4-March-1997,3873.00,3949.07,3842.88,3944.61,-,-,15.46,3.02,1.42,
5-March-1997,3965.03,4029.56,3898.40,3940.99,-,-,15.44,3.02,1.42,
6-March-1997,3935.00,3941.09,3859.04,3876.04,-,-,15.19,2.97,1.45,
10-March-1997,3861.47,3861.47,3764.89,3768.74,-,-,14.52,2.84,1.53,
11-March-1997,3766.04,3802.89,3700.02,3725.87,-,-,14.36,2.81,1.55,
12-March-1997,3735.20,3796.78,3727.93,3762.37,-,-,14.50,2.84,1.53,
13-March-1997,3769.55,3780.34,3731.81,3754.51,-,-,14.47,2.83,1.53,
14-March-1997,3747.63,3768.22,3714.17,3745.31,-,-,14.44,2.83,1.54,
17-March-1997,3752.91,3808.19,3752.91,3798.12,-,-,14.64,2.87,1.52,
18-March-1997,3797.46,3813.06,3765.48,3795.17,-,-,14.63,2.87,1.52,
19-March-1997,3791.58,3791.94,3689.07,3689.07,-,-,14.22,2.79,1.56,
20-March-1997,3686.37,3734.84,3659.27,3732.05,-,-,14.39,2.82,1.54,
21-March-1997,3736.82,3763.30,3718.62,3730.20,-,-,14.38,2.82,1.54,
25-March-1997,3736.27,3796.22,3736.27,3765.78,-,-,14.52,2.84,1.53,
26-March-1997,3765.24,3765.24,3724.92,3733.24,-,-,14.39,2.82,1.54,
27-March-1997,3733.26,3736.37,3695.16,3735.58,-,-,14.40,2.82,1.54,
28-March-1997,3736.66,3740.75,3656.16,3663.53,-,-,14.12,2.77,1.57,
31-March-1997,3595.36,3595.36,3318.90,3360.89,-,-,12.96,2.54,1.71,
1-April-1997,3339.47,3438.27,3315.36,3427.01,-,-,13.21,2.59,1.68,
2-April-1997,3450.40,3540.87,3450.40,3538.39,-,-,13.64,2.67,1.63,
3-April-1997,3543.40,3581.94,3520.71,3559.65,-,-,13.72,2.69,1.62,
4-April-1997,3555.42,3555.42,3519.78,3550.37,-,-,13.69,2.68,1.62,
7-April-1997,3551.95,3551.95,3511.15,3520.49,-,-,13.57,2.66,1.64,
9-April-1997,3541.71,3657.82,3541.71,3650.88,-,-,14.07,2.76,1.58,
10-April-1997,3640.75,3640.80,3554.77,3598.37,-,-,13.87,2.72,1.60,
11-April-1997,3573.97,3644.24,3512.05,3633.73,-,-,14.01,2.74,1.58,
12-April-1997,3624.50,3624.50,3574.26,3589.72,-,-,13.84,2.71,1.60,
15-April-1997,3605.06,3649.86,3605.06,3647.44,-,-,14.06,2.75,1.58,
17-April-1997,3649.12,3706.32,3642.67,3696.52,-,-,14.25,2.79,1.56,
21-April-1997,3723.83,3808.38,3723.83,3799.79,-,-,14.65,2.87,1.52,
22-April-1997,3813.42,3839.54,3785.77,3800.63,-,-,14.65,2.87,1.51,
23-April-1997,3801.98,3864.77,3798.45,3828.99,-,-,14.76,2.89,1.50,
24-April-1997,3831.52,3834.31,3793.48,3805.72,-,-,14.67,2.87,1.51,
25-April-1997,3800.87,3827.74,3793.83,3825.57,-,-,14.75,2.89,1.51,
28-April-1997,3833.47,3850.47,3812.87,3825.51,-,-,14.75,2.89,1.51,
29-April-1997,3822.53,3828.46,3787.15,3808.65,-,-,14.68,2.88,1.51,
30-April-1997,3847.03,3879.21,3838.22,3841.11,-,-,14.81,2.90,1.50,
2-May-1997,3838.44,3838.44,3789.64,3801.71,-,-,14.65,2.87,1.51,
